Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU VAP RHU_Min PRE_1h VIS WEP_Now CLO_Cov CLO_COV_LM CLO_Cov_Low windpower tigan
54398 2018 12 23 0 1034.6000 1038.5000 1034.6000 1034.1000 4.6000 6.9000 300 308 2.3000 299 -6.5000 -6.1000 -6.6000 13 0.5000 12 0.0000 30000.0000 0.0000 999999 999999 999999 2 -10.7600 
54398 2018 12 23 1 1035.2000 1039.1000 1035.2000 1034.6000 4.6000 7.9000 303 314 4.5000 304 -5.7000 -5.6000 -6.5000 13 0.5000 13 0.0000 30000.0000 0.0000 999999 999999 999999 3 -9.8700 
54398 2018 12 23 2 1035.3000 1039.2000 1035.3000 1035.1000 4.9000 9.5000 326 307 4.6000 311 -4.3000 -4.3000 -5.6000 12 0.5000 12 0.0000 30000.0000 0.0000 999999 999999 999999 3 -8.3600 
54398 2018 12 23 3 1034.7000 1038.5000 1035.3000 1034.7000 4.4000 7.2000 312 288 4.3000 311 -3.1000 -3.0000 -4.4000 10 0.5000 10 0.0000 30000.0000 0.0000 999999 999999 999999 2 -7.0900 
54398 2018 12 23 4 1033.3000 1037.1000 1034.7000 1033.3000 4.0000 6.8000 334 289 4.3000 321 -2.1000 -2.0000 -3.1000 10 0.5000 10 0.0000 30000.0000 0.0000 999999 999999 999999 2 -5.9900 
54398 2018 12 23 5 1032.4000 1036.2000 1033.3000 1032.4000 4.7000 8.7000 295 303 1.9000 295 -1.3000 -1.3000 -2.1000 9 0.5000 9 0.0000 30000.0000 0.0000 999999 999999 999999 2 -5.1400 
54398 2018 12 23 6 1031.5000 1035.3000 1032.4000 1031.5000 3.6000 6.2000 278 318 2.6000 312 -0.3000 -0.2000 -1.3000 8 0.5000 8 0.0000 30000.0000 0.0000 999999 999999 999999 2 -4.0700 
54398 2018 12 23 7 1030.7000 1034.5000 1031.4000 1030.6000 3.3000 5.6000 306 323 2.5000 310 0.4000 0.4000 -0.4000 7 0.4000 7 0.0000 30000.0000 0.0000 999999 999999 999999 2 -3.3200 
54398 2018 12 23 8 1029.9000 1033.7000 1030.6000 1029.9000 3.0000 5.1000 320 336 2.0000 324 0.5000 0.6000 0.3000 8 0.5000 7 0.0000 30000.0000 0.0000 999999 999999 999999 2 -3.1900 
54398 2018 12 23 9 1029.5000 1033.4000 1029.9000 1029.5000 1.9000 3.0000 315 66 0.4000 311 -1.6000 0.5000 -1.6000 15 0.8000 7 0.0000 30000.0000 0.0000 999999 999999 999999 1 -5.3100 
54398 2018 12 23 10 1029.5000 1033.4000 1029.6000 1029.5000 1.1000 1.5000 145 999017 0.0000 183 -4.1000 -1.6000 -4.1000 25 1.1000 14 0.0000 14300.0000 0.0000 999999 999999 999999 1 -7.8000 
54398 2018 12 23 11 1029.2000 1033.1000 1029.5000 1029.2000 1.1000 1.7000 227 260 0.8000 258 -5.0000 -4.1000 -5.0000 30 1.3000 24 0.0000 25800.0000 0.0000 999999 999999 999999 1 -8.6600 
54398 2018 12 23 12 1029.1000 1033.0000 1029.2000 1029.1000 1.3000 2.0000 213 350 0.7000 257 -5.2000 -4.9000 -5.2000 32 1.3000 23 0.0000 24300.0000 0.0000 999999 999999 999999 1 -8.8300 
54398 2018 12 23 13 1028.9000 1032.8000 1029.1000 1028.9000 1.2000 1.5000 34 6 0.7000 33 -6.3000 -5.2000 -6.3000 44 1.7000 30 0.0000 13800.0000 0.0000 999999 999999 999999 1 -9.7300 
54398 2018 12 23 14 1028.7000 1032.6000 1028.9000 1028.7000 1.4000 2.0000 357 358 1.1000 9 -7.0000 -6.3000 -7.1000 34 1.2000 31 0.0000 13900.0000 0.0000 999999 999999 999999 1 -10.7600 
54398 2018 12 23 15 1028.6000 1032.5000 1028.8000 1028.6000 2.0000 2.6000 23 13 1.6000 32 -7.2000 -7.0000 -7.7000 30 1.1000 28 0.0000 14100.0000 0.0000 999999 999999 999999 1 -11.0800 
54398 2018 12 23 16 1028.3000 1032.2000 1028.6000 1028.3000 1.6000 2.1000 20 18 0.9000 1 -7.8000 -7.2000 -7.8000 33 1.1000 30 0.0000 15900.0000 0.0000 999999 999999 999999 1 -11.6600 
54398 2018 12 23 17 1028.2000 1032.1000 1028.4000 1028.2000 1.6000 2.3000 26 19 1.4000 16 -8.1000 -7.7000 -8.1000 36 1.2000 32 0.0000 15600.0000 0.0000 999999 999999 999999 1 -11.9100 
54398 2018 12 23 18 1027.9000 1031.8000 1028.3000 1027.9000 1.4000 1.9000 31 22 0.9000 17 -8.3000 -8.1000 -8.5000 38 1.2000 35 0.0000 22500.0000 0.0000 999999 999999 999999 1 -12.0800 
54398 2018 12 23 19 1027.6000 1031.5000 1028.0000 1027.5000 1.6000 2.3000 17 360 1.5000 5 -8.7000 -8.1000 -8.7000 41 1.3000 37 0.0000 27000.0000 0.0000 999999 999999 999999 2 -12.4400 
54398 2018 12 23 20 1027.0000 1030.9000 1027.6000 1027.0000 1.8000 2.6000 51 17 1.0000 27 -9.3000 -8.7000 -9.3000 51 1.5000 41 0.0000 26300.0000 0.0000 999999 999999 999999 1 -12.8400 
54398 2018 12 23 21 1026.1000 1030.0000 1027.0000 1026.1000 1.8000 2.5000 43 9 1.0000 26 -9.8000 -9.3000 -9.8000 51 1.5000 50 0.0000 27500.0000 0.0000 999999 999999 999999 1 -13.3900 
54398 2018 12 23 22 1025.5000 1029.4000 1026.1000 1025.5000 1.6000 2.3000 0 9 1.8000 9 -10.1000 -9.8000 -10.2000 53 1.5000 51 0.0000 25200.0000 0.0000 999999 999999 999999 2 -13.6700 
54398 2018 12 23 23 1025.6000 1029.5000 1025.7000 1025.4000 1.9000 2.5000 23 16 1.6000 9 -10.5000 -10.1000 -10.6000 56 1.5000 52 0.0000 25500.0000 0.0000 999999 999999 999999 2 -14.0300 
54398 2018 12 24 0 1025.8000 1029.7000 1025.8000 1025.6000 1.6000 3.0000 14 4 2.2000 11 -9.9000 -9.9000 -10.6000 47 1.4000 47 0.0000 24100.0000 0.0000 999999 999999 999999 1 -13.6100 
54398 2018 12 24 1 1025.6000 1029.5000 1025.8000 1025.6000 1.9000 2.9000 3 20 1.8000 14 -8.1000 -8.0000 -9.9000 39 1.3000 39 0.0000 20300.0000 0.0000 999999 999999 999999 2 -11.8400 
54398 2018 12 24 2 1025.1000 1029.0000 1025.6000 1025.1000 1.8000 2.9000 28 45 1.3000 15 -5.5000 -5.5000 -8.0000 35 1.4000 34 0.0000 20600.0000 0.0000 999999 999999 999999 1 -9.0800 
